Company,FS Type,FS Item,งบปี 256231 ธ.ค. 2562,งบปี 256331 ธ.ค. 2563,งบปี 256431 ธ.ค. 2564,งบปี 256531 ธ.ค. 2565
STARK,Balance Sheet,เงินสดและรายการเทียบเท่าเงินสด,"1,431.14","1,156.03","1,029.48","6,117.56"
STARK,Balance Sheet,ลูกหนี้และตั๋วเงินรับการค้าสุทธิ,"3,464.59","6,041.75","15,570.82","7,799.54"
STARK,Balance Sheet,สินค้าคงเหลือ,"3,671.42","8,618.00","10,486.81","10,004.31"
STARK,Balance Sheet,รวมสินทรัพย์หมุนเวียน,"8,707.07","16,330.92","27,961.64","24,093.20"
STARK,Balance Sheet,ที่ดินอาคารและอุปกรณ์สุทธิ,"2,603.58","4,212.54","4,413.32","4,201.38"
STARK,Balance Sheet,รวมสินทรัพย์ไม่หมุนเวียน,"3,947.62","10,985.57","11,180.47","10,069.46"
STARK,Balance Sheet,รวมสินทรัพย์,"12,654.69","27,316.49","39,142.11","34,162.65"
STARK,Balance Sheet,เงินเบิกเกินบัญชีและเงินกู้ยืม,"1,706.30","7,107.24","3,443.80","5,270.53"
STARK,Balance Sheet,เจ้าหนี้และตั๋วเงินจ่ายการค้าสุทธิ,"4,840.80","10,247.60","17,092.54","17,543.71"
STARK,Balance Sheet,หนี้สินระยะยาวที่ถึงกำหนดชำระภายในหนึ่งปี,666.27,"1,056.84","1,711.43","7,391.71"
STARK,Balance Sheet,รวมหนี้สินหมุนเวียน,"8,137.51","19,649.17","23,548.24","30,721.43"
STARK,Balance Sheet,รวมหนี้สินไม่หมุนเวียน,"2,203.82","3,903.60","9,002.61","7,844.89"
STARK,Balance Sheet,รวมหนี้สิน,"10,341.33","23,552.77","32,550.85","38,566.31"
STARK,Balance Sheet,ทุนจดทะเบียน,"14,332.76","15,875.21","15,875.21","17,375.21"
STARK,Balance Sheet,ทุนที่ออกและชำระเต็มมูลค่า,"14,049.56","11,906.40","11,906.40","13,406.40"
STARK,Balance Sheet,ส่วนเกิน(ต่ำกว่า)มูลค่าหุ้น,"-1,711.14",-,-,"4,080.00"
STARK,Balance Sheet,กำไร(ขาดทุน)สะสม,964.68,"2,935.11","5,633.25","-10,378.52"
STARK,Balance Sheet,หุ้นทุนรับซื้อคืน,-,-,-,-
STARK,Balance Sheet,หุ้นที่ถือโดยบริษัทย่อย,-,-,-,-
STARK,Balance Sheet,องค์ประกอบอื่นของส่วนของผู้ถือหุ้น,"-11,035.37","-11,133.01","-11,035.04","-11,522.62"
STARK,Balance Sheet,- ส่วนเกิน (ต่ำกว่า) ทุน,-493.2,-493.2,-493.2,-493.2
STARK,Balance Sheet,รวมส่วนของผู้ถือหุ้นบริษัทใหญ่,"2,267.72","3,708.50","6,504.61","-4,414.73"
STARK,Balance Sheet,ส่วนของผู้ถือหุ้นส่วนน้อย,45.64,55.22,86.64,
STARK,Profit Loss,รายได้จากการดำเนินธุรกิจ,"11,528.85","16,858.04","27,093.66","25,263.36"
STARK,Profit Loss,รายได้อื่น,10.19,40.61,13.8,11.95
STARK,Profit Loss,รวมรายได้,"11,607.71","16,917.68","27,129.64","25,312.98"
STARK,Profit Loss,ต้นทุน,"10,102.65","13,869.41","21,700.29","25,130.41"
STARK,Profit Loss,ค่าใช้จ่ายในการขายและบริหาร,607.44,865.59,"1,128.99","1,550.96"
STARK,Profit Loss,รวมต้นทุนและค่าใช้จ่าย,"10,872.54","14,720.23","22,655.37","30,154.66"
STARK,Profit Loss,EBITDA,"1,083.15","3,055.03","4,902.65","-4,321.00"
STARK,Profit Loss,ค่าเสื่อมและค่าตัดจำหน่าย,192.77,357.43,430.32,479.03
STARK,Profit Loss,กำไร (ขาดทุน) ก่อนต้นทุนทางการเงิน และภาษีเงินได้,890.38,"2,697.60","4,472.32","-4,800.03"
STARK,Profit Loss,กำไร(ขาดทุน)สุทธิ : ผู้ถือหุ้นบริษัทใหญ่,123.92,"1,608.66","2,783.11","-6,612.13"
STARK,Profit Loss,กำไรต่อหุ้น (บาท),0.01,0.14,0.23,-0.54
STARK,Cash flow,เงินสดสุทธิจากกิจกรรมดำเนินงาน,676.1,"3,003.56","-1,225.48","-4,629.89"
STARK,Cash flow,เงินสดสุทธิจากกิจกรรมลงทุน,-620.13,"-6,531.81",-406.02,-862.47
STARK,Cash flow,เงินสดสุทธิจากกิจกรรมจัดหาเงิน,720.07,"3,272.85","1,560.92","10,719.50"
STARK,Cash flow,เงินสดสุทธิ,776.04,-255.4,-70.59,"5,227.14"
